1,1
1,20
2,2
2,9
3,4
3,20
4,15
4,19
5,1
5,15
6,15
6,20
7,6
7,15
8,4
8,20
9,15
9,20
10,1
10,20
11,10
11,15
12,2
12,20
13,7
13,16
14,15
14,20
15,4
15,20
16,15
16,19
17,2
17,20
18,9
18,20
19,4
19,20
20,15
20,20
21,2
21,20
22,2
22,9
23,1
23,4
24,1
24,20
25,7
25,16
26,4
26,20
27,1
27,20
28,15
28,20
29,15
29,19
30,10
30,15
31,6
31,19
32,15
32,20
33,6
33,15
34,7
34,14
35,3
35,15
36,15
36,19
37,8
37,19
38,15
38,20
39,1
39,16
40,16
40,20
41,7
41,16
42,7
42,8
43,6
43,16
44,7
44,16
45,7
45,14
46,1
46,16
60,12
60,17
61,1
61,17
62,13
62,17
63,12
63,17
64,12
64,17
65,2
65,20
66,2
66,4
67,3
67,4
69,3
69,5
71,3
71,4
72,15
72,20
73,1
73,15
74,3
74,4
75,4
75,5
76,1
76,20
77,1
77,4
78,15
78,20
79,2
79,11
