#idCroyances,#idAliment
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
4,20
4,21
4,22
4,23
4,24
4,25
4,29
4,30
4,32
4,33
4,36
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
6,27
6,28
6,34
6,35
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,53
6,54
6,55
6,56
6,57
6,58
6,59
6,60
6,61
6,62
6,63
6,64
6,65
6,66
6,67
6,68
6,69
7,1
7,7
7,8
7,9
7,10
7,14
7,15
7,22
7,25
7,28
7,29
7,32
8,20
8,30
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,47
8,51
8,52
